Group	Trusted th	Noise th	ROC th	Sensitivity	Specificity	AUC	Average	SD	x0	k
ECF122	127.3	90.0	127.3	1.0	1.0	1.0	46.869340302678566	15.839061789866676	3.8974884723780403	19.65245984227746
ECF25	89.8	178.5	111.2	0.9552238805970149	0.8850604573829265	0.9779430508657841	80.72589550418088	25.568182747809892	3.251892787022098	7.6037129789189555
ECF115	107.2	121.5	107.2	1.0	0.9994358795454377	0.9999973065242436	49.73609519514413	18.66384323558942	3.500907571339887	13.108031992530488
ECF105	118.9	133.8	118.9	1.0	0.9966971469287178	0.9999894301378164	55.86431438943065	22.11097932105928	3.463902327488765	17.97257431175339
ECF33	143.5	125.9	143.5	1.0	1.0	1.0	54.85036707354039	22.73759224054629	3.514940207636077	62.172826693604215
ECF250	143.2	130.5	143.2	1.0	1.0	1.0	50.85262274599102	22.013864988176746	3.9064066003671774	83.21770958885963
ECF249	111.0	155.2	133.5	0.993421052631579	0.9936203200225514	0.9995653094684889	70.26830968734059	24.968259196370497	2.974890789743248	10.809879672330268
ECF272	150.0	140.8	150.0	1.0	1.0	0.9999999999999999	62.54343149069562	22.800252326675952	3.633231814315972	123.44570144476303
ECF261	124.2	110.9	124.2	1.0	1.0	1.0	43.60591827530885	23.04390514860478	3.20815440686728	83.21335978023218
ECF286	141.8	152.6	141.8	1.0	0.9994883165614873	0.9999839658052937	71.20279315978975	23.65173047883898	3.292609581067854	7.590132562230514
ECF251	136.8	138.5	136.8	1.0	0.9999851695857865	0.9999999630164234	50.85922859107342	26.391353428606774	3.341500411762175	532.0633936678574
ECF292	114.5	157.0	114.5	1.0	0.9969525758519441	0.9998724811688565	65.87748689551158	18.738214160892984	4.467894023748379	8.980899764864109
ECF291	129.1	127.0	129.1	1.0	1.0	1.0	63.521438129810214	19.638670620217667	3.285187923766775	503.24776535083464
ECF227	115.4	135.5	115.4	1.0	0.9935049528441782	0.9999131533728678	64.20826118779526	20.13019123343568	3.390949440190294	15.470819147160764
ECF255	152.4	89.7	152.4	1.0	1.0	1.0	34.7490037631507	19.46360524322055	4.454386674961202	14.733528380943444
ECF281	138.4	170.9	143.2	0.9943502824858758	0.982965790741633	0.999354641066731	78.59298383102048	27.622863320612336	2.786094733124639	15.896695200766121
ECF289	141.6	116.3	141.6	1.0	1.0	1.0	50.23008967979949	20.80864046901999	3.7866359656508264	41.16638337959249
ECF31	157.0	114.5	157.0	1.0	1.0	1.0	52.30992540237618	21.65955482929858	3.85228919618671	24.756557670724433
ECF239	136.7	122.1	136.7	1.0	1.0	1.0	44.465345004768636	18.33345194184026	4.63335634108318	60.65867404339247
ECF294	156.7	123.9	156.7	1.0	1.0	1.0	51.412488632919064	19.437663209590742	4.5726034328135885	27.347390349627247
