Group	Trusted th	Noise th	ROC th	Sensitivity	Specificity	AUC	Average	SD	x0	k
ECF243s148	239.2	202.2	239.2	1.0	1.0	1.0	18.88871460582603	16.455284074241224	12.274117934490517	22.05269269518019
ECF243s147	211.8	136.9	211.8	1.0	1.0	1.0	35.755627419026276	19.01170172627427	7.292742751841182	12.132981632050072
ECF243s146	258.0	157.2	258.0	1.0	1.0	1.0	17.450299741000492	15.757950924125401	12.10575769304009	7.795154210117531
ECF243s145	257.7	104.4	257.7	1.0	1.0	1.0	30.44950964700405	15.571076880337632	9.670281600718877	4.827009878149255
ECF243s144	201.3	107.9	201.3	1.0	1.0	1.0	27.705500101853737	16.80783681805844	7.633361088871897	8.505190553465281
ECF243s143	217.5	174.4	217.5	1.0	1.0	1.0	21.09565593807293	16.91530743056192	10.338839740594828	18.88243731393316
ECF243s142	215.7	213.6	215.7	1.0	1.0	1.0	21.090100544189973	18.314875953618174	10.568831176136857	454.12038516284974
ECF240s79	244.5	217.7	244.5	1.0	1.0	0.9999999999999999	25.765276605651426	18.086859995517454	11.358415896962875	33.41888395465262
ECF240s78	174.4	190.5	174.4	1.0	0.9995998049958889	0.9999653419637587	32.63443238366848	17.04453930613602	9.27656993684661	746.4721024870552
ECF240s77	179.2	210.2	179.2	1.0	0.9997598829975334	0.9999415983367207	40.23462954340424	18.963227176082963	8.626282792376506	1.9697867885711897
ECF240s76	181.2	158.3	181.2	1.0	1.0	1.0	33.92512440706574	19.238818405937543	7.061811067920535	40.31735353487648
ECF240s75	186.2	166.9	186.2	1.0	1.0	1.0	27.617114338096208	17.77225539627854	8.381922037383752	47.31014364340047
ECF240s74	236.1	91.7	236.1	1.0	1.0	1.0	17.849364869190698	14.873959658409053	9.841446718714245	4.868004612957332
ECF240s73	208.2	143.8	208.2	1.0	1.0	0.9999999999999999	22.288310100980706	15.140630315596681	10.181296875811523	11.104778906667194
ECF23s18	175.7	139.9	175.7	1.0	1.0	1.0	14.923954544131773	13.109338222032758	10.917909564553842	17.89567399581483
ECF239s6	189.0	206.0	189.0	1.0	0.9994833846310566	0.9999461938774377	36.55365218403515	17.67362022398787	9.494136511770897	7.928744691503944
ECF238s16	199.0	151.7	199.0	1.0	1.0	1.0	33.97027616913541	16.535687587889484	8.570883832673376	18.094019169974175
ECF120s16	265.4	79.0	265.4	1.0	1.0	1.0	21.393906236358877	13.202619617684006	11.61803903851325	3.3159251729063146
ECF235s29	212.4	165.3	212.4	1.0	1.0	1.0000000000000002	29.621176847190295	17.85307591929854	8.930933302584938	17.816700720342872
ECF235s28	186.3	203.4	186.3	1.0	0.9994324507214425	0.9999540445928293	44.56336903064342	19.303802317621233	7.851358579182708	14.060456811800751
ECF22s28	228.8	184.2	228.8	1.0	1.0	1.0000000000000002	21.42893228181474	19.49917127390698	9.493260517153583	20.553028004217452
ECF22s27	201.4	161.4	201.4	1.0	1.0	1.0	31.992419899310303	17.280675533122043	8.63755922578055	21.5188543658804
ECF227s8	216.6	210.6	216.6	1.0	1.0	1.0	31.128377178942475	18.52455762653868	9.850405422842924	156.14404430278884
ECF21s37	211.1	111.5	211.1	1.0	1.0	1.0	30.325005820213605	16.50101375361369	7.973519029427685	7.89302086907383
ECF21s36	237.9	179.3	237.9	1.0	1.0	1.0	35.955500101853744	22.86617656625761	7.571437565216691	19.207088896074872
